ngo_name,program_type,location,cost,people_helped,outcome_score
Green Earth,Reforestation,Brazil,50000,1200,8.5
Clean Water Initiative,Sanitation,Kenya,30000,5000,9.2
Tech for All,Education,India,75000,2000,7.8
Health First,Vaccination,Nigeria,120000,15000,9.5
Green Earth,Reforestation,Brazil,50000,1200,8.5
Urban Bloom,Community Garden,USA,15000,300,6.5
Literacy Connect,Adult Literacy,UK,25000,800,8.0
Clean Water Initiative,Sanitation,Kenya,30000,5000,9.2
Tech for All,Education,India,75000,2000,7.8
Eco Shelter,Housing,Syria,100000,2500,8.9
Eco Shelter,Housing,Syria,100000,2500,8.9
